V2	V(n002)	V(n003)	V(n004)
1.950000000000000e+00	-6.678760e-01	1.173993e+00	3.789393e+00
1.975000000000000e+00	-6.852542e-01	1.163357e+00	3.784350e+00
2.000000000000000e+00	-7.026324e-01	1.152722e+00	3.779308e+00
2.025000000000000e+00	-7.200105e-01	1.142087e+00	3.774265e+00
2.050000000000000e+00	-7.373887e-01	1.131452e+00	3.769223e+00
2.075000000000000e+00	-7.547669e-01	1.120817e+00	3.764180e+00
2.100000000000000e+00	-7.721450e-01	1.110181e+00	3.759138e+00
2.125000000000000e+00	-7.895232e-01	1.099546e+00	3.754095e+00
2.150000000000000e+00	-8.069013e-01	1.088911e+00	3.749053e+00
2.175000000000000e+00	-8.242795e-01	1.078276e+00	3.744010e+00
2.200000000000000e+00	-8.416577e-01	1.067641e+00	3.738967e+00
2.225000000000000e+00	-8.590358e-01	1.057005e+00	3.733925e+00
2.250000000000000e+00	-8.764140e-01	1.046370e+00	3.728882e+00
2.275000000000000e+00	-8.937922e-01	1.035735e+00	3.723840e+00
2.300000000000000e+00	-9.111704e-01	1.025100e+00	3.718797e+00
2.325000000000000e+00	-9.285485e-01	1.014464e+00	3.713755e+00
2.350000000000000e+00	-9.459267e-01	1.003829e+00	3.708712e+00
2.375000000000000e+00	-9.633048e-01	9.931942e-01	3.703670e+00
2.400000000000000e+00	-9.806830e-01	9.825590e-01	3.698627e+00
2.425000000000000e+00	-9.980612e-01	9.719237e-01	3.693584e+00
2.450000000000000e+00	-1.015439e+00	9.612885e-01	3.688542e+00
2.475000000000000e+00	-1.032817e+00	9.506533e-01	3.683499e+00
2.500000000000000e+00	-1.050196e+00	9.400181e-01	3.678457e+00
2.525000000000000e+00	-1.067574e+00	9.293829e-01	3.673414e+00
2.550000000000000e+00	-1.084952e+00	9.187477e-01	3.668372e+00
2.575000000000000e+00	-1.102330e+00	9.081125e-01	3.663329e+00
2.600000000000000e+00	-1.119708e+00	8.974773e-01	3.658287e+00
2.625000000000000e+00	-1.137087e+00	8.868421e-01	3.653244e+00
2.650000000000000e+00	-1.154465e+00	8.762069e-01	3.648201e+00
2.675000000000000e+00	-1.171843e+00	8.655717e-01	3.643159e+00
2.700000000000000e+00	-1.189221e+00	8.549365e-01	3.638116e+00
2.725000000000000e+00	-1.206599e+00	8.443013e-01	3.633074e+00
2.750000000000000e+00	-1.223977e+00	8.336661e-01	3.628031e+00
2.775000000000000e+00	-1.241355e+00	8.230309e-01	3.622989e+00
2.800000000000000e+00	-1.258734e+00	8.123957e-01	3.617946e+00
2.825000000000000e+00	-1.276112e+00	8.017605e-01	3.612904e+00
2.850000000000000e+00	-1.293490e+00	7.911253e-01	3.607861e+00
2.875000000000000e+00	-1.310868e+00	7.804901e-01	3.602818e+00
2.900000000000000e+00	-1.328246e+00	7.698549e-01	3.597776e+00
2.925000000000000e+00	-1.345624e+00	7.592197e-01	3.592733e+00
2.950000000000000e+00	-1.363003e+00	7.485845e-01	3.587691e+00
2.975000000000000e+00	-1.380381e+00	7.379493e-01	3.582648e+00
3.000000000000000e+00	-1.397759e+00	7.273141e-01	3.577606e+00
3.025000000000000e+00	-1.415137e+00	7.166789e-01	3.572563e+00
3.050000000000000e+00	-1.432515e+00	7.060437e-01	3.567521e+00
3.075000000000000e+00	-1.449893e+00	6.954085e-01	3.562478e+00
3.100000000000000e+00	-1.467272e+00	6.847733e-01	3.557436e+00
3.125000000000000e+00	-1.484650e+00	6.741381e-01	3.552393e+00
3.150000000000000e+00	-1.502028e+00	6.635029e-01	3.547350e+00
3.175000000000000e+00	-1.519406e+00	6.528677e-01	3.542308e+00
3.200000000000000e+00	-1.536784e+00	6.422325e-01	3.537265e+00
3.225000000000000e+00	-1.554163e+00	6.315973e-01	3.532223e+00
3.250000000000000e+00	-1.571541e+00	6.209621e-01	3.527180e+00
3.275000000000000e+00	-1.588919e+00	6.103269e-01	3.522138e+00
3.300000000000000e+00	-1.606297e+00	5.996916e-01	3.517095e+00
3.325000000000000e+00	-1.623675e+00	5.890564e-01	3.512053e+00
3.350000000000000e+00	-1.641053e+00	5.784212e-01	3.507010e+00
3.375000000000000e+00	-1.658431e+00	5.677860e-01	3.501967e+00
3.400000000000000e+00	-1.675810e+00	5.571508e-01	3.496925e+00
3.425000000000000e+00	-1.693188e+00	5.465156e-01	3.491882e+00
3.450000000000000e+00	-1.710566e+00	5.358804e-01	3.486840e+00
