Freq.	V(n002)
1.00000000000000e+03	(-1.45271415540621e+01dB,1.64216107360878e+02°)
1.00230523807790e+03	(-1.44878869068954e+01dB,1.64180168627778e+02°)
1.00461579027840e+03	(-1.44486356377095e+01dB,1.64144150084877e+02°)
1.00693166885180e+03	(-1.44093877615291e+01dB,1.64108051568787e+02°)
1.00925288607668e+03	(-1.43701432934431e+01dB,1.64071872915871e+02°)
1.01157945425990e+03	(-1.43309022486049e+01dB,1.64035613962258e+02°)
1.01391138573668e+03	(-1.42916646422328e+01dB,1.63999274543841e+02°)
1.01624869287070e+03	(-1.42524304896099e+01dB,1.63962854496265e+02°)
1.01859138805412e+03	(-1.42131998060849e+01dB,1.63926353654954e+02°)
1.02093948370768e+03	(-1.41739726070715e+01dB,1.63889771855074e+02°)
1.02329299228075e+03	(-1.41347489080496e+01dB,1.63853108931564e+02°)
1.02565192625141e+03	(-1.40955287245647e+01dB,1.63816364719125e+02°)
1.02801629812647e+03	(-1.40563120722290e+01dB,1.63779539052221e+02°)
1.03038612044162e+03	(-1.40170989667210e+01dB,1.63742631765076e+02°)
1.03276140576140e+03	(-1.39778894237859e+01dB,1.63705642691679e+02°)
1.03514216667934e+03	(-1.39386834592363e+01dB,1.63668571665793e+02°)
1.03752841581801e+03	(-1.38994810889517e+01dB,1.63631418520930e+02°)
1.03992016582906e+03	(-1.38602823288792e+01dB,1.63594183090373e+02°)
1.04231742939330e+03	(-1.38210871950340e+01dB,1.63556865207178e+02°)
1.04472021922080e+03	(-1.37818957034994e+01dB,1.63519464704157e+02°)
1.04712854805090e+03	(-1.37427078704266e+01dB,1.63481981413895e+02°)
1.04954242865232e+03	(-1.37035237120359e+01dB,1.63444415168737e+02°)
1.05196187382322e+03	(-1.36643432446163e+01dB,1.63406765800803e+02°)
1.05438689639126e+03	(-1.36251664845259e+01dB,1.63369033141976e+02°)
1.05681750921366e+03	(-1.35859934481921e+01dB,1.63331217023906e+02°)
1.05925372517729e+03	(-1.35468241521123e+01dB,1.63293317278016e+02°)
1.06169555719872e+03	(-1.35076586128536e+01dB,1.63255333735498e+02°)
1.06414301822431e+03	(-1.34684968470532e+01dB,1.63217266227302e+02°)
1.06659612123026e+03	(-1.34293388714193e+01dB,1.63179114584169e+02°)
1.06905487922266e+03	(-1.33901847027302e+01dB,1.63140878636590e+02°)
1.07151930523760e+03	(-1.33510343578356e+01dB,1.63102558214843e+02°)
1.07398941234124e+03	(-1.33118878536564e+01dB,1.63064153148964e+02°)
1.07646521362983e+03	(-1.32727452071851e+01dB,1.63025663268770e+02°)
1.07894672222983e+03	(-1.32336064354859e+01dB,1.62987088403849e+02°)
1.08143395129794e+03	(-1.31944715556953e+01dB,1.62948428383564e+02°)
1.08392691402120e+03	(-1.31553405850222e+01dB,1.62909683037044e+02°)
1.08642562361706e+03	(-1.31162135407478e+01dB,1.62870852193200e+02°)
1.08893009333343e+03	(-1.30770904402265e+01dB,1.62831935680710e+02°)
1.09144033644875e+03	(-1.30379713008860e+01dB,1.62792933328037e+02°)
1.09395636627209e+03	(-1.29988561402274e+01dB,1.62753844963417e+02°)
1.09647819614318e+03	(-1.29597449758254e+01dB,1.62714670414854e+02°)
1.09900583943252e+03	(-1.29206378253290e+01dB,1.62675409510142e+02°)
1.10153930954141e+03	(-1.28815347064614e+01dB,1.62636062076845e+02°)
1.10407861990207e+03	(-1.28424356370201e+01dB,1.62596627942298e+02°)
1.10662378397766e+03	(-1.28033406348782e+01dB,1.62557106933636e+02°)
1.10917481526240e+03	(-1.27642497179832e+01dB,1.62517498877751e+02°)
1.11173172728159e+03	(-1.27251629043586e+01dB,1.62477803601330e+02°)
1.11429453359173e+03	(-1.26860802121033e+01dB,1.62438020930835e+02°)
1.11686324778056e+03	(-1.26470016593924e+01dB,1.62398150692507e+02°)
1.11943788346715e+03	(-1.26079272644771e+01dB,1.62358192712376e+02°)
1.12201845430196e+03	(-1.25688570456855e+01dB,1.62318146816250e+02°)
1.12460497396692e+03	(-1.25297910214222e+01dB,1.62278012829717e+02°)
1.12719745617551e+03	(-1.24907292101692e+01dB,1.62237790578155e+02°)
1.12979591467279e+03	(-1.24516716304859e+01dB,1.62197479886729e+02°)
1.13240036323555e+03	(-1.24126183010094e+01dB,1.62157080580379e+02°)
1.13501081567231e+03	(-1.23735692404548e+01dB,1.62116592483837e+02°)
1.13762728582343e+03	(-1.23345244676155e+01dB,1.62076015421627e+02°)
1.14024978756117e+03	(-1.22954840013636e+01dB,1.62035349218053e+02°)
1.14287833478977e+03	(-1.22564478606501e+01dB,1.61994593697211e+02°)
1.14551294144553e+03	(-1.22174160645049e+01dB,1.61953748682979e+02°)
1.14815362149688e+03	(-1.21783886320377e+01dB,1.61912813999037e+02°)
1.15080038894443e+03	(-1.21393655824381e+01dB,1.61871789468852e+02°)
1.15345325782109e+03	(-1.21003469349751e+01dB,1.61830674915666e+02°)
1.15611224219209e+03	(-1.20613327089988e+01dB,1.61789470162538e+02°)
1.15877735615512e+03	(-1.20223229239394e+01dB,1.61748175032303e+02°)
1.16144861384034e+03	(-1.19833175993085e+01dB,1.61706789347591e+02°)
1.16412602941049e+03	(-1.19443167546987e+01dB,1.61665312930839e+02°)
1.16680961706096e+03	(-1.19053204097841e+01dB,1.61623745604264e+02°)
1.16949939101987e+03	(-1.18663285843209e+01dB,1.61582087189885e+02°)
1.17219536554813e+03	(-1.18273412981470e+01dB,1.61540337509521e+02°)
1.17489755493952e+03	(-1.17883585711833e+01dB,1.61498496384783e+02°)
1.17760597352080e+03	(-1.17493804234330e+01dB,1.61456563637082e+02°)
1.18032063565173e+03	(-1.17104068749826e+01dB,1.61414539087633e+02°)
1.18304155572516e+03	(-1.16714379460018e+01dB,1.61372422557445e+02°)
1.18576874816716e+03	(-1.16324736567440e+01dB,1.61330213867334e+02°)
1.18850222743701e+03	(-1.15935140275466e+01dB,1.61287912837908e+02°)
1.19124200802737e+03	(-1.15545590788313e+01dB,1.61245519289593e+02°)
1.19398810446427e+03	(-1.15156088311041e+01dB,1.61203033042604e+02°)
1.19674053130724e+03	(-1.14766633049563e+01dB,1.61160453916976e+02°)
1.19949930314937e+03	(-1.14377225210639e+01dB,1.61117781732528e+02°)
1.20226443461741e+03	(-1.13987865001887e+01dB,1.61075016308907e+02°)
1.20503594037179e+03	(-1.13598552631783e+01dB,1.61032157465560e+02°)
1.20781383510677e+03	(-1.13209288309662e+01dB,1.60989205021734e+02°)
1.21059813355048e+03	(-1.12820072245724e+01dB,1.60946158796499e+02°)
1.21338885046497e+03	(-1.12430904651037e+01dB,1.60903018608728e+02°)
1.21618600064636e+03	(-1.12041785737538e+01dB,1.60859784277104e+02°)
1.21898959892486e+03	(-1.11652715718038e+01dB,1.60816455620129e+02°)
1.22179966016487e+03	(-1.11263694806226e+01dB,1.60773032456115e+02°)
1.22461619926504e+03	(-1.10874723216666e+01dB,1.60729514603182e+02°)
1.22743923115840e+03	(-1.10485801164811e+01dB,1.60685901879278e+02°)
1.23026877081238e+03	(-1.10096928866995e+01dB,1.60642194102156e+02°)
1.23310483322890e+03	(-1.09708106540443e+01dB,1.60598391089390e+02°)
1.23594743344450e+03	(-1.09319334403272e+01dB,1.60554492658382e+02°)
1.23879658653036e+03	(-1.08930612674494e+01dB,1.60510498626337e+02°)
1.24165230759240e+03	(-1.08541941574021e+01dB,1.60466408810293e+02°)
1.24451461177138e+03	(-1.08153321322664e+01dB,1.60422223027106e+02°)
1.24738351424294e+03	(-1.07764752142141e+01dB,1.60377941093452e+02°)
1.25025903021771e+03	(-1.07376234255079e+01dB,1.60333562825845e+02°)
1.25314117494141e+03	(-1.06987767885011e+01dB,1.60289088040598e+02°)
1.25602996369487e+03	(-1.06599353256393e+01dB,1.60244516553879e+02°)
1.25892541179416e+03	(-1.06210990594589e+01dB,1.60199848181661e+02°)
1.26182753459066e+03	(-1.05822680125891e+01dB,1.60155082739761e+02°)
1.26473634747114e+03	(-1.05434422077512e+01dB,1.60110220043817e+02°)
1.26765186585784e+03	(-1.05046216677593e+01dB,1.60065259909300e+02°)
1.27057410520853e+03	(-1.04658064155205e+01dB,1.60020202151516e+02°)
1.27350308101665e+03	(-1.04269964740353e+01dB,1.59975046585597e+02°)
1.27643880881134e+03	(-1.03881918663980e+01dB,1.59929793026522e+02°)
1.27938130415752e+03	(-1.03493926157967e+01dB,1.59884441289094e+02°)
1.28233058265601e+03	(-1.03105987455141e+01dB,1.59838991187963e+02°)
1.28528665994361e+03	(-1.02718102789272e+01dB,1.59793442537604e+02°)
1.28824955169313e+03	(-1.02330272395085e+01dB,1.59747795152345e+02°)
1.29121927361353e+03	(-1.01942496508255e+01dB,1.59702048846355e+02°)
1.29419584144998e+03	(-1.01554775365413e+01dB,1.59656203433627e+02°)
1.29717927098395e+03	(-1.01167109204152e+01dB,1.59610258728019e+02°)
1.30016957803328e+03	(-1.00779498263027e+01dB,1.59564214543227e+02°)
1.30316677845229e+03	(-1.00391942781559e+01dB,1.59518070692786e+02°)
1.30617088813183e+03	(-1.00004443000240e+01dB,1.59471826990089e+02°)
1.30918192299940e+03	(-9.96169991605315e+00dB,1.59425483248363e+02°)
1.31219989901920e+03	(-9.92296115048768e+00dB,1.59379039280705e+02°)
1.31522483219223e+03	(-9.88422802766944e+00dB,1.59332494900050e+02°)
1.31825673855640e+03	(-9.84550057203874e+00dB,1.59285849919189e+02°)
1.32129563418657e+03	(-9.80677880813449e+00dB,1.59239104150767e+02°)
1.32434153519466e+03	(-9.76806276059452e+00dB,1.59192257407287e+02°)
1.32739445772973e+03	(-9.72935245415602e+00dB,1.59145309501107e+02°)
1.33045441797808e+03	(-9.69064791365579e+00dB,1.59098260244446e+02°)
1.33352143216332e+03	(-9.65194916403056e+00dB,1.59051109449382e+02°)
1.33659551654643e+03	(-9.61325623031725e+00dB,1.59003856927850e+02°)
1.33967668742593e+03	(-9.57456913765361e+00dB,1.58956502491654e+02°)
1.34276496113785e+03	(-9.53588791127822e+00dB,1.58909045952461e+02°)
1.34586035405594e+03	(-9.49721257653106e+00dB,1.58861487121806e+02°)
1.34896288259164e+03	(-9.45854315885365e+00dB,1.58813825811088e+02°)
1.35207256319427e+03	(-9.41987968378952e+00dB,1.58766061831576e+02°)
1.35518941235103e+03	(-9.38122217698454e+00dB,1.58718194994412e+02°)
1.35831344658714e+03	(-9.34257066418709e+00dB,1.58670225110602e+02°)
1.36144468246594e+03	(-9.30392517124891e+00dB,1.58622151991045e+02°)
