Freq.	V(n002)
1.00000000000000e+03	(1.98368458564071e+01dB,-1.57937487812292e+01°)
1.00230523807790e+03	(1.98360986180431e+01dB,-1.58297102914375e+01°)
1.00461579027840e+03	(1.98353479938252e+01dB,-1.58657516493370e+01°)
1.00693166885180e+03	(1.98345939686995e+01dB,-1.59018730183473e+01°)
1.00925288607668e+03	(1.98338365275481e+01dB,-1.59380745621421e+01°)
1.01157945425990e+03	(1.98330756551882e+01dB,-1.59743564446243e+01°)
1.01391138573668e+03	(1.98323113363725e+01dB,-1.60107188299407e+01°)
1.01624869287070e+03	(1.98315435557883e+01dB,-1.60471618824726e+01°)
1.01859138805412e+03	(1.98307722980577e+01dB,-1.60836857668370e+01°)
1.02093948370768e+03	(1.98299975477374e+01dB,-1.61202906478974e+01°)
1.02329299228075e+03	(1.98292192893181e+01dB,-1.61569766907495e+01°)
1.02565192625141e+03	(1.98284375072244e+01dB,-1.61937440607238e+01°)
1.02801629812647e+03	(1.98276521858147e+01dB,-1.62305929233920e+01°)
1.03038612044162e+03	(1.98268633093805e+01dB,-1.62675234445599e+01°)
1.03276140576140e+03	(1.98260708621469e+01dB,-1.63045357902727e+01°)
1.03514216667934e+03	(1.98252748282714e+01dB,-1.63416301267971e+01°)
1.03752841581801e+03	(1.98244751918445e+01dB,-1.63788066206552e+01°)
1.03992016582906e+03	(1.98236719368890e+01dB,-1.64160654385963e+01°)
1.04231742939330e+03	(1.98228650473595e+01dB,-1.64534067475932e+01°)
1.04472021922080e+03	(1.98220545071429e+01dB,-1.64908307148657e+01°)
1.04712854805090e+03	(1.98212403000573e+01dB,-1.65283375078604e+01°)
1.04954242865232e+03	(1.98204224098523e+01dB,-1.65659272942632e+01°)
1.05196187382322e+03	(1.98196008202086e+01dB,-1.66036002419834e+01°)
1.05438689639126e+03	(1.98187755147375e+01dB,-1.66413565191677e+01°)
1.05681750921366e+03	(1.98179464769810e+01dB,-1.66791962941966e+01°)
1.05925372517729e+03	(1.98171136904114e+01dB,-1.67171197356755e+01°)
1.06169555719872e+03	(1.98162771384307e+01dB,-1.67551270124467e+01°)
1.06414301822431e+03	(1.98154368043709e+01dB,-1.67932182935816e+01°)
1.06659612123026e+03	(1.98145926714934e+01dB,-1.68313937483744e+01°)
1.06905487922266e+03	(1.98137447229887e+01dB,-1.68696535463565e+01°)
1.07151930523760e+03	(1.98128929419763e+01dB,-1.69079978572853e+01°)
1.07398941234124e+03	(1.98120373115042e+01dB,-1.69464268511475e+01°)
1.07646521362983e+03	(1.98111778145491e+01dB,-1.69849406981551e+01°)
1.07894672222983e+03	(1.98103144340154e+01dB,-1.70235395687482e+01°)
1.08143395129794e+03	(1.98094471527355e+01dB,-1.70622236335909e+01°)
1.08392691402120e+03	(1.98085759534695e+01dB,-1.71009930635801e+01°)
1.08642562361706e+03	(1.98077008189046e+01dB,-1.71398480298341e+01°)
