time	I(C1)	I(L1)	I(R2)
4.299736235759271e-03	1.499020e-01	1.487137e+00	1.370388e-01
4.376466146473555e-03	1.383452e-01	1.480903e+00	1.192474e-01
4.453196057187839e-03	1.273519e-01	1.475454e+00	1.028050e-01
4.529925967902123e-03	1.169222e-01	1.470790e+00	8.771187e-02
4.606655878616407e-03	1.070559e-01	1.466912e+00	7.396782e-02
4.683385789330691e-03	9.775322e-02	1.463820e+00	6.157290e-02
4.736399182187833e-03	9.164172e-02	1.461953e+00	5.359394e-02
4.789412575044974e-03	8.576911e-02	1.460303e+00	4.607221e-02
4.842425967902116e-03	8.013537e-02	1.458873e+00	3.900769e-02
4.895439360759258e-03	7.474053e-02	1.457660e+00	3.240040e-02
4.948452753616400e-03	6.958456e-02	1.456666e+00	2.625032e-02
5.001466146473541e-03	6.466748e-02	1.455890e+00	2.055746e-02
5.054479539330683e-03	5.998929e-02	1.455333e+00	1.532183e-02
5.079591146473540e-03	5.784579e-02	1.455114e+00	1.295954e-02
5.104702753616397e-03	5.574945e-02	1.454929e+00	1.067767e-02
5.129814360759253e-03	5.370027e-02	1.454776e+00	8.476217e-03
5.154925967902109e-03	5.169823e-02	1.454657e+00	6.355181e-03
5.180037575044967e-03	4.974335e-02	1.454572e+00	4.314562e-03
5.205149182187823e-03	4.783563e-02	1.454519e+00	2.354360e-03
5.230260789330679e-03	4.597506e-02	1.454500e+00	4.745749e-04
5.240026414330679e-03	4.526305e-02	1.454499e+00	-2.382228e-04
5.249792039330679e-03	4.455780e-02	1.454503e+00	-9.399481e-04
5.259557664330679e-03	4.385927e-02	1.454510e+00	-1.630706e-03
5.279088914330678e-03	4.248220e-02	1.454538e+00	-2.979740e-03
5.298620164330678e-03	4.113154e-02	1.454583e+00	-4.286153e-03
5.327917039330677e-03	3.915443e-02	1.454678e+00	-6.167654e-03
5.357213914330677e-03	3.723501e-02	1.454807e+00	-7.957833e-03
5.404646950044961e-03	3.425796e-02	1.455099e+00	-1.064378e-02
5.452079985759246e-03	3.141421e-02	1.455452e+00	-1.313442e-02
5.499513021473531e-03	2.870376e-02	1.455867e+00	-1.542976e-02
5.546946057187816e-03	2.612663e-02	1.456344e+00	-1.752981e-02
5.594379092902100e-03	2.368279e-02	1.456883e+00	-1.943455e-02
5.641812128616385e-03	2.137226e-02	1.457484e+00	-2.114399e-02
5.689245164330670e-03	1.919504e-02	1.458147e+00	-2.265814e-02
5.745048735759240e-03	1.678824e-02	1.458981e+00	-2.423061e-02
5.800852307187810e-03	1.452217e-02	1.459852e+00	-2.562638e-02
5.856655878616381e-03	1.239683e-02	1.460758e+00	-2.684545e-02
5.912459450044951e-03	1.041221e-02	1.461700e+00	-2.788782e-02
5.968263021473521e-03	8.568324e-03	1.462678e+00	-2.875349e-02
6.024066592902091e-03	6.865161e-03	1.463693e+00	-2.944247e-02
6.079870164330661e-03	5.302725e-03	1.464743e+00	-2.995475e-02
6.109167039330661e-03	4.524179e-03	1.465295e+00	-3.018136e-02
6.138463914330660e-03	3.775534e-03	1.465849e+00	-3.037571e-02
6.167760789330659e-03	3.056790e-03	1.466406e+00	-3.053781e-02
6.197057664330659e-03	2.367948e-03	1.466965e+00	-3.066765e-02
6.226354539330658e-03	1.709007e-03	1.467526e+00	-3.076524e-02
6.255651414330658e-03	1.079968e-03	1.468090e+00	-3.083057e-02
6.284948289330657e-03	4.808295e-04	1.468656e+00	-3.086364e-02
6.294713914330657e-03	2.865114e-04	1.468844e+00	-3.086963e-02
6.304479539330657e-03	9.517877e-05	1.469033e+00	-3.087261e-02
6.314245164330656e-03	-9.319650e-05	1.469221e+00	-3.087263e-02
6.324010789330656e-03	-2.786425e-04	1.469409e+00	-3.086972e-02
6.333776414330656e-03	-4.611870e-04	1.469597e+00	-3.086394e-02
6.353307664330655e-03	-8.176824e-04	1.469974e+00	-3.084394e-02
6.372838914330655e-03	-1.162902e-03	1.470350e+00	-3.081297e-02
6.402135789330654e-03	-1.660066e-03	1.470914e+00	-3.074672e-02
6.431432664330654e-03	-2.133071e-03	1.471476e+00	-3.065774e-02
6.478865700044938e-03	-2.842685e-03	1.472385e+00	-3.045828e-02
