time	V(n002)	I(L1)	I(L2)
5.494245234997542e+00	9.053606e-05	3.325854e-01	-3.326035e-01
5.504010859997542e+00	9.493280e-05	3.325776e-01	-3.325965e-01
5.513776484997542e+00	9.837227e-05	3.325699e-01	-3.325895e-01
5.523542109997542e+00	1.010628e-04	3.325623e-01	-3.325825e-01
5.543073359997542e+00	1.048134e-04	3.325474e-01	-3.325683e-01
5.572370234997542e+00	1.078945e-04	3.325253e-01	-3.325468e-01
5.593296574283256e+00	1.087942e-04	3.325097e-01	-3.325314e-01
5.614222913568971e+00	1.095240e-04	3.324941e-01	-3.325160e-01
5.635149252854685e+00	1.100840e-04	3.324786e-01	-3.325006e-01
5.656075592140398e+00	1.104742e-04	3.324631e-01	-3.324851e-01
5.677001931426113e+00	1.106945e-04	3.324476e-01	-3.324697e-01
5.697928270711827e+00	1.107450e-04	3.324321e-01	-3.324542e-01
5.718854609997542e+00	1.106257e-04	3.324167e-01	-3.324387e-01
9.234479609997543e+00	1.098353e-04	3.298285e-01	-3.298504e-01
1.000000000000000e+01	1.096486e-04	3.292676e-01	-3.292895e-01
