time	V(n003)	I(C1)
2.099014437500036e-02	1.646512e+00	1.467069e-01
2.103897250000036e-02	3.415771e+00	1.431684e-01
2.108780062500036e-02	5.142354e+00	1.397151e-01
2.113662875000036e-02	6.827293e+00	1.363452e-01
2.123428500000036e-02	1.007623e+01	1.298472e-01
2.133194125000036e-02	1.317033e+01	1.236590e-01
2.147842562500037e-02	1.753720e+01	1.149251e-01
2.162491000000037e-02	2.159564e+01	1.068081e-01
2.177139437500037e-02	2.536744e+01	9.926437e-02
2.195275598214323e-02	2.959964e+01	9.079983e-02
2.213411758928609e-02	3.353182e+01	8.293535e-02
2.231547919642895e-02	3.716398e+01	7.567094e-02
2.249684080357181e-02	4.049611e+01	6.900659e-02
2.267820241071467e-02	4.352821e+01	6.294229e-02
2.285956401785753e-02	4.626028e+01	5.747806e-02
2.304092562500039e-02	4.869233e+01	5.261389e-02
2.322228723214325e-02	5.093556e+01	4.812736e-02
2.340364883928611e-02	5.301977e+01	4.395889e-02
2.358501044642897e-02	5.494495e+01	4.010847e-02
2.376637205357183e-02	5.671110e+01	3.657611e-02
2.394773366071469e-02	5.831823e+01	3.336181e-02
2.412909526785755e-02	5.976633e+01	3.046556e-02
2.431045687500041e-02	6.105541e+01	2.788736e-02
2.449181848214326e-02	6.224441e+01	2.550933e-02
2.467318008928613e-02	6.334912e+01	2.329988e-02
2.485454169642898e-02	6.436954e+01	2.125901e-02
2.503590330357185e-02	6.530567e+01	1.938673e-02
2.521726491071470e-02	6.615750e+01	1.768302e-02
2.539862651785757e-02	6.692505e+01	1.614790e-02
2.557998812500042e-02	6.760831e+01	1.478136e-02
2.576134973214328e-02	6.823853e+01	1.352091e-02
2.594271133928614e-02	6.882406e+01	1.234982e-02
2.612407294642900e-02	6.936492e+01	1.126809e-02
2.630543455357186e-02	6.986111e+01	1.027570e-02
2.648679616071472e-02	7.031261e+01	9.372675e-03
2.666815776785758e-02	7.071945e+01	8.559001e-03
2.684951937500044e-02	7.108160e+01	7.834682e-03
2.703088098214330e-02	7.141564e+01	7.166598e-03
2.721224258928616e-02	7.172600e+01	6.545875e-03
2.739360419642902e-02	7.201267e+01	5.972514e-03
2.757496580357188e-02	7.227567e+01	5.446513e-03
2.775632741071474e-02	7.251499e+01	4.967874e-03
2.793768901785760e-02	7.273062e+01	4.536596e-03
2.811905062500046e-02	7.292258e+01	4.152679e-03
2.830041223214332e-02	7.309963e+01	3.798569e-03
2.848177383928618e-02	7.326413e+01	3.469562e-03
2.866313544642904e-02	7.341608e+01	3.165659e-03
2.884449705357190e-02	7.355547e+01	2.886859e-03
2.902585866071476e-02	7.368232e+01	2.633162e-03
2.920722026785762e-02	7.379662e+01	2.404568e-03
2.938858187500048e-02	7.389836e+01	2.201078e-03
2.956994348214334e-02	7.399221e+01	2.013386e-03
2.975130508928620e-02	7.407940e+01	1.839000e-03
2.993266669642906e-02	7.415994e+01	1.677919e-03
3.011402830357192e-02	7.423383e+01	1.530145e-03
3.029538991071478e-02	7.430106e+01	1.395676e-03
3.047675151785764e-02	7.436164e+01	1.274512e-03
3.065811312500050e-02	7.441557e+01	1.166655e-03
3.083947473214335e-02	7.446531e+01	1.067171e-03
3.102083633928620e-02	7.451152e+01	9.747398e-04
3.120219794642905e-02	7.455421e+01	8.893611e-04
3.138355955357191e-02	7.459337e+01	8.110349e-04
3.156492116071476e-02	7.462901e+01	7.397612e-04
3.174628276785761e-02	7.466112e+01	6.755400e-04
