time	V(n003)	I(C1)
0.000000000000000e+00	-5.000000e+00	-5.000000e-22
1.000000003627494e-15	-5.000000e+00	1.000008e-06
2.000000007254987e-15	-5.000000e+00	2.000015e-06
4.000000014509975e-15	-5.000000e+00	3.999972e-06
8.000000029019950e-15	-5.000000e+00	8.000003e-06
1.600000005803990e-14	-5.000000e+00	1.599999e-05
3.200000011607980e-14	-5.000000e+00	3.199999e-05
6.400000023215960e-14	-5.000000e+00	6.400000e-05
1.000000000000000e-13	-5.000000e+00	9.999999e-05
1.000000000000000e-12	-4.999999e+00	9.999999e-05
1.227232347308558e-08	-4.987735e+00	9.987735e-05
2.454364694617117e-08	-4.975486e+00	9.975486e-05
3.681497041925675e-08	-4.963253e+00	9.963253e-05
4.908629389234233e-08	-4.951034e+00	9.951034e-05
6.135761736542792e-08	-4.938830e+00	9.938830e-05
7.362894083851350e-08	-4.926641e+00	9.926642e-05
8.590026431159906e-08	-4.914468e+00	9.914468e-05
1.717996105431984e-07	-4.829667e+00	9.829667e-05
3.435983030063971e-07	-4.662233e+00	9.662233e-05
6.871956879327945e-07	-4.335848e+00	9.335848e-05
1.374390457785589e-06	-3.715605e+00	8.715606e-05
2.350952957785590e-06	-2.904096e+00	7.904096e-05
3.327515457785590e-06	-2.168147e+00	7.168147e-05
4.304077957785590e-06	-1.500722e+00	6.500722e-05
5.280640457785590e-06	-8.954404e-01	5.895440e-05
6.257202957785590e-06	-3.465167e-01	5.346517e-05
7.233765457785590e-06	1.512967e-01	4.848703e-05
8.210327957785591e-06	6.027589e-01	4.397241e-05
9.186890457785591e-06	1.012185e+00	3.987814e-05
1.016345295778559e-05	1.383490e+00	3.616510e-05
1.114001545778559e-05	1.720223e+00	3.279777e-05
1.211657795778559e-05	2.025603e+00	2.974397e-05
1.309314045778559e-05	2.302548e+00	2.697452e-05
1.406970295778560e-05	2.553708e+00	2.446292e-05
1.504626545778560e-05	2.781482e+00	2.218518e-05
1.602282795778560e-05	2.988048e+00	2.011952e-05
1.699939045778560e-05	3.175380e+00	1.824620e-05
1.797595295778560e-05	3.345270e+00	1.654730e-05
1.895251545778560e-05	3.499342e+00	1.500658e-05
1.992907795778560e-05	3.639068e+00	1.360932e-05
2.090564045778560e-05	3.765784e+00	1.234216e-05
2.188220295778560e-05	3.880702e+00	1.119298e-05
2.285876545778560e-05	3.984920e+00	1.015080e-05
2.383532795778560e-05	4.079433e+00	9.205663e-06
2.481189045778561e-05	4.165147e+00	8.348526e-06
2.578845295778561e-05	4.242880e+00	7.571195e-06
2.676501545778561e-05	4.313376e+00	6.866242e-06
2.774157795778561e-05	4.377307e+00	6.226927e-06
2.871814045778561e-05	4.435286e+00	5.647139e-06
2.969470295778561e-05	4.487866e+00	5.121335e-06
3.067126545778561e-05	4.535551e+00	4.644487e-06
3.164782795778561e-05	4.578796e+00	4.212040e-06
3.262439045778561e-05	4.618014e+00	3.819858e-06
3.360095295778561e-05	4.653581e+00	3.464191e-06
3.457751545778561e-05	4.685836e+00	3.141641e-06
3.555407795778561e-05	4.715088e+00	2.849123e-06
3.653064045778561e-05	4.741616e+00	2.583841e-06
3.750720295778561e-05	4.765674e+00	2.343260e-06
3.848376545778561e-05	4.787492e+00	2.125080e-06
3.946032795778561e-05	4.807279e+00	1.927214e-06
4.043689045778562e-05	4.825223e+00	1.747771e-06
4.141345295778562e-05	4.841496e+00	1.585036e-06
4.239001545778562e-05	4.856255e+00	1.437454e-06
4.336657795778562e-05	4.869639e+00	1.303613e-06
4.434314045778562e-05	4.881777e+00	1.182234e-06
4.531970295778562e-05	4.892785e+00	1.072156e-06
4.629626545778562e-05	4.902767e+00	9.723276e-07
4.727282795778562e-05	4.911820e+00	8.817943e-07
4.824939045778562e-05	4.920031e+00	7.996906e-07
5.000000009999999e-05	4.932881e+00	6.711853e-07
5.000000010999999e-05	4.932881e+00	-9.328804e-06
5.000000012999999e-05	4.932881e+00	-2.932881e-05
5.000000019999999e-05	4.932881e+00	-9.932881e-05
5.000059938513234e-05	4.932286e+00	-9.932286e-05
5.000119857026467e-05	4.931691e+00	-9.931691e-05
5.000179775539702e-05	4.931096e+00	-9.931096e-05
5.000239694052936e-05	4.930501e+00	-9.930501e-05
5.000299612566171e-05	4.929906e+00	-9.929906e-05
5.000359531079404e-05	4.929311e+00	-9.929311e-05
5.000419449592639e-05	4.928716e+00	-9.928716e-05
5.002276927045757e-05	4.910291e+00	-9.910291e-05
5.004134404498876e-05	4.891900e+00	-9.891900e-05
5.005991881951995e-05	4.873543e+00	-9.873543e-05
5.007849359405113e-05	4.855220e+00	-9.855220e-05
5.009706836858232e-05	4.836931e+00	-9.836931e-05
5.011564314311351e-05	4.818676e+00	-9.818676e-05
5.013421791764470e-05	4.800455e+00	-9.800455e-05
5.026843564328940e-05	4.669792e+00	-9.669792e-05
5.053687109457881e-05	4.413659e+00	-9.413659e-05
5.107374199715762e-05	3.921478e+00	-8.921479e-05
5.205030449715762e-05	3.090801e+00	-8.090801e-05
5.302686699715762e-05	2.337467e+00	-7.337467e-05
5.400342949715762e-05	1.654277e+00	-6.654277e-05
5.497999199715762e-05	1.034698e+00	-6.034698e-05
5.595655449715762e-05	4.728079e-01	-5.472808e-05
5.693311699715762e-05	-3.676452e-02	-4.963236e-05
5.790967949715762e-05	-4.988907e-01	-4.501109e-05
5.888624199715762e-05	-9.179884e-01	-4.082012e-05
5.986280449715762e-05	-1.298064e+00	-3.701936e-05
6.083936699715762e-05	-1.642751e+00	-3.357249e-05
6.181592949715762e-05	-1.955344e+00	-3.044656e-05
6.279249199715762e-05	-2.238831e+00	-2.761169e-05
6.376905449715762e-05	-2.495924e+00	-2.504077e-05
6.474561699715762e-05	-2.729078e+00	-2.270922e-05
6.572217949715762e-05	-2.940523e+00	-2.059477e-05
6.669874199715762e-05	-3.132281e+00	-1.867719e-05
6.767530449715762e-05	-3.306184e+00	-1.693816e-05
6.865186699715762e-05	-3.463895e+00	-1.536105e-05
6.962842949715762e-05	-3.606921e+00	-1.393079e-05
7.060499199715763e-05	-3.736631e+00	-1.263369e-05
