time	V(n003)	I(C1)
1.323237420699172e-04	-3.027441e+00	-9.862793e-04
1.342768670699172e-04	-3.211002e+00	-8.944992e-04
1.372065545699172e-04	-3.454817e+00	-7.725915e-04
1.391596795699172e-04	-3.598607e+00	-7.006965e-04
1.411128045699172e-04	-3.729017e+00	-6.354918e-04
1.430659295699172e-04	-3.847290e+00	-5.763549e-04
1.450190545699172e-04	-3.954558e+00	-5.227210e-04
1.469721795699172e-04	-4.051844e+00	-4.740781e-04
1.489253045699172e-04	-4.140076e+00	-4.299619e-04
1.508784295699172e-04	-4.220098e+00	-3.899509e-04
1.528315545699173e-04	-4.292674e+00	-3.536633e-04
1.547846795699173e-04	-4.358495e+00	-3.207524e-04
1.577143670699173e-04	-4.445923e+00	-2.770384e-04
1.596674920699173e-04	-4.497484e+00	-2.512580e-04
1.616206170699173e-04	-4.544247e+00	-2.278767e-04
1.635737420699173e-04	-4.586658e+00	-2.066712e-04
1.655268670699173e-04	-4.625122e+00	-1.874390e-04
1.674799920699173e-04	-4.660007e+00	-1.699965e-04
1.694331170699173e-04	-4.691646e+00	-1.541771e-04
1.704096795699173e-04	-4.706343e+00	-1.468284e-04
1.713862420699173e-04	-4.720340e+00	-1.398299e-04
1.723628045699173e-04	-4.733670e+00	-1.331650e-04
1.733393670699173e-04	-4.746365e+00	-1.268177e-04
1.743159295699173e-04	-4.758454e+00	-1.207730e-04
1.752924920699173e-04	-4.769967e+00	-1.150164e-04
1.762690545699173e-04	-4.780931e+00	-1.095343e-04
1.772456170699173e-04	-4.791373e+00	-1.043134e-04
1.782221795699173e-04	-4.801317e+00	-9.934132e-05
1.791987420699173e-04	-4.810788e+00	-9.460627e-05
1.801753045699173e-04	-4.819806e+00	-9.009692e-05
1.821284295699173e-04	-4.836575e+00	-8.171277e-05
1.831049920699173e-04	-4.844364e+00	-7.781797e-05
1.860346795699173e-04	-4.865575e+00	-6.721248e-05
1.870112420699173e-04	-4.871982e+00	-6.400884e-05
1.899409295699173e-04	-4.889430e+00	-5.528533e-05
1.909174920699173e-04	-4.894700e+00	-5.265019e-05
1.928706170699173e-04	-4.904499e+00	-4.775072e-05
1.938471795699173e-04	-4.909050e+00	-4.547471e-05
1.948237420699173e-04	-4.913386e+00	-4.330718e-05
1.958003045699173e-04	-4.917514e+00	-4.124297e-05
1.967768670699173e-04	-4.921446e+00	-3.927715e-05
1.977534295699173e-04	-4.925190e+00	-3.740503e-05
1.987299920699173e-04	-4.928756e+00	-3.562214e-05
1.997065545699173e-04	-4.932151e+00	-3.392423e-05
2.000000000000000e-04	-4.933140e+00	-3.343076e-05
2.000000001000000e-04	-4.933140e+00	4.966569e-03
2.011299542957024e-04	-4.391123e+00	4.695561e-03
2.022599084914049e-04	-3.875250e+00	4.437625e-03
2.033898626871074e-04	-3.385522e+00	4.192761e-03
2.045198168828098e-04	-2.921938e+00	3.960969e-03
2.056497710785123e-04	-2.484499e+00	3.742250e-03
2.067797252742147e-04	-2.073204e+00	3.536602e-03
2.079096794699172e-04	-1.688053e+00	3.344027e-03
