;Scopy version,8ade0b5a
;Exported on,Thursday April 03/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1,-0.044911,-0.778977
1,1.01627,-0.028934,0.275929
2,1.03279,-0.0244554,-1.39398
3,1.04959,-0.0369044,0.529755
4,1.06666,-0.0182262,0.332628
5,1.08401,-0.0201401,0.363481
6,1.10165,-0.00734624,0.337334
7,1.11956,-0.023898,0.544745
8,1.13777,-0.0281591,0.296576
9,1.15628,-0.0447296,0.471026
10,1.17509,-0.0306014,-0.233943
11,1.1942,-0.0284394,0.385486
12,1.21362,-0.0305726,0.25403
13,1.23336,-0.0294219,0.234483
14,1.25342,-0.0282483,-0.629612
15,1.27381,-0.0244758,0.359718
16,1.29453,-0.0161341,-0.172402
17,1.31559,-0.0187627,-0.231247
18,1.33698,-0.0148864,-0.709092
19,1.35873,-0.0173486,0.00674159
20,1.38083,-0.0186712,-0.410231
21,1.40329,-0.0285069,-0.285124
22,1.42611,-0.0260392,-0.320832
23,1.44931,-0.0288571,-0.721044
24,1.47288,-0.0321183,-1.48985
25,1.49684,-0.0278731,0.332971
26,1.52119,-0.0179927,-0.263071
27,1.54593,-0.0390467,-0.783462
28,1.57107,-0.0271747,-0.721654
29,1.59663,-0.0256643,-1.21333
30,1.6226,-0.0277868,-0.205245
31,1.64899,-0.0311301,-0.224347
32,1.67581,-0.0435629,-0.281122
33,1.70307,-0.0325199,0.226241
34,1.73077,-0.0310322,0.207913
35,1.75892,-0.0367194,0.0927311
36,1.78753,-0.0284597,0.137096
37,1.8166,-0.0345919,0.259339
38,1.84615,-0.0400489,0.110897
39,1.87617,-0.0426277,0.176559
40,1.90669,-0.0460166,0.019092
41,1.9377,-0.0480782,0.0156742
42,1.96922,-0.0354198,0.310576
43,2.00125,-0.038379,0.110536
44,2.0338,-0.0395966,0.208906
45,2.06688,-0.0439776,0.0272405
46,2.1005,-0.0359046,-0.00419202
47,2.13466,-0.0347284,0.156846
48,2.16938,-0.0366587,0.217949
49,2.20467,-0.0480221,-0.280745
50,2.24053,-0.0392413,0.0362681
51,2.27697,-0.0379296,0.0402759
52,2.31401,-0.0342519,0.0882787
53,2.35164,-0.0403391,0.0896905
54,2.38989,-0.039847,-0.0317911
55,2.42876,-0.0293474,0.149146
56,2.46827,-0.0321631,0.090951
57,2.50842,-0.0333611,-0.0911986
58,2.54921,-0.03698,-0.129953
59,2.59068,-0.0298606,-0.138446
60,2.63282,-0.0301874,-0.0115169
61,2.67564,-0.0323471,-0.0309984
62,2.71916,-0.0323726,-0.179534
63,2.76339,-0.0216417,0.102732
64,2.80833,-0.0273788,0.0814057
65,2.85401,-0.0319136,-0.094801
66,2.90043,-0.0299668,0.0388884
67,2.94761,-0.0347278,-0.0790691
68,2.99555,-0.0369994,-0.401757
69,3.04427,-0.0327186,0.0295005
70,3.09379,-0.0300103,-0.00664144
71,3.14411,-0.0324449,-0.126169
72,3.19525,-0.0279249,-0.00286006
73,3.24722,-0.0310133,-0.00144122
74,3.30003,-0.0289022,-0.0536013
75,3.35371,-0.0273292,0.0776724
76,3.40826,-0.028666,0.0431775
77,3.46369,-0.0305299,0.0115803
78,3.52003,-0.0301831,-0.0373939
79,3.57729,-0.0345447,0.0129591
80,3.63547,-0.0294603,0.0198167
81,3.6946,-0.0299466,0.105523
82,3.75469,-0.0336363,-0.0223166
83,3.81576,-0.0288535,0.0204823
84,3.87783,-0.032078,-0.0683885
85,3.9409,-0.0335681,-0.0357746
86,4.005,-0.0305072,-0.0521961
87,4.07014,-0.0289303,-0.0401282
88,4.13634,-0.0340961,-0.0621359
89,4.20362,-0.0363332,-0.266188
90,4.27199,-0.031817,-0.104043
91,4.34148,-0.033724,-0.213985
92,4.41209,-0.0336196,-0.0211428
93,4.48386,-0.0301281,0.0282531
94,4.55679,-0.0302712,0.00279936
95,4.6309,-0.0341022,-0.0800201
96,4.70622,-0.0308389,-0.0288299
97,4.78277,-0.0315571,-0.0739324
98,4.86056,-0.031946,-0.0999532
99,4.93962,-0.0336155,-0.145965
100,5.01997,-0.0332078,-0.102847
101,5.10162,-0.0322727,-0.0717473
102,5.18459,-0.0326832,-0.0587884
103,5.26892,-0.0319289,-0.0914632
104,5.35462,-0.033396,-0.0773942
105,5.44171,-0.032205,-0.0670062
106,5.53022,-0.0281329,-0.0675472
107,5.62017,-0.0324479,-0.126882
108,5.71159,-0.0334906,-0.111047
109,5.80449,-0.0305779,-0.139535
110,5.8989,-0.0349226,-0.118273
111,5.99484,-0.0306918,-0.0577588
112,6.09235,-0.0308553,-0.0580179
113,6.19144,-0.0312779,-0.0596076
114,6.29215,-0.0317152,-0.0868533
115,6.39449,-0.0286812,-0.0876792
116,6.4985,-0.0317782,-0.0605597
117,6.60419,-0.0340689,-0.130177
118,6.71161,-0.0322615,-0.0732428
119,6.82078,-0.0308759,-0.0563697
120,6.93172,-0.0307722,-0.093862
121,7.04446,-0.0314777,-0.125803
122,7.15904,-0.0303544,-0.0620788
123,7.27548,-0.032285,-0.133483
124,7.39382,-0.0308522,-0.14044
125,7.51408,-0.0334169,-0.143193
126,7.6363,-0.032827,-0.0794814
127,7.7605,-0.0326346,-0.127027
128,7.88673,-0.0344997,-0.129616
129,8.01501,-0.0340883,-0.127769
130,8.14537,-0.0320562,-0.10708
131,8.27786,-0.033513,-0.124638
132,8.4125,-0.0344918,-0.130229
133,8.54933,-0.03153,-0.125071
134,8.68838,-0.0338841,-0.11015
135,8.8297,-0.0332384,-0.120622
136,8.97332,-0.0335621,-0.122435
137,9.11927,-0.0325845,-0.112109
138,9.26759,-0.0316432,-0.133344
139,9.41833,-0.0325278,-0.122155
140,9.57152,-0.0310844,-0.116188
141,9.7272,-0.0325175,-0.138795
142,9.88542,-0.0319895,-0.130944
143,10.0462,-0.031716,-0.135268
144,10.2096,-0.0316542,-0.145484
145,10.3757,-0.032208,-0.139685
146,10.5444,-0.0334869,-0.134972
147,10.7159,-0.0326587,-0.151442
148,10.8902,-0.0327851,-0.151209
149,11.0674,-0.0317909,-0.148253
150,11.2474,-0.0324597,-0.153536
151,11.4303,-0.0315203,-0.162273
152,11.6162,-0.0344645,-0.154189
153,11.8052,-0.0327745,-0.168605
154,11.9972,-0.0315454,-0.169537
155,12.1923,-0.0336988,-0.178657
156,12.3906,-0.0327425,-0.178971
157,12.5922,-0.0338069,-0.182094
158,12.797,-0.0317407,-0.164261
159,13.0051,-0.0326048,-0.185061
160,13.2166,-0.0336704,-0.182394
161,13.4316,-0.033588,-0.190602
162,13.6501,-0.0327902,-0.197419
163,13.8721,-0.0335072,-0.196168
164,14.0977,-0.0341718,-0.202029
165,14.327,-0.0332032,-0.195274
166,14.5601,-0.0323634,-0.192067
167,14.7969,-0.0334332,-0.2047
168,15.0376,-0.0333681,-0.209088
169,15.2821,-0.0322763,-0.203594
170,15.5307,-0.0343815,-0.21234
171,15.7833,-0.0332863,-0.230246
172,16.04,-0.0336146,-0.224696
173,16.3009,-0.0332141,-0.230296
174,16.5661,-0.0333657,-0.22149
175,16.8355,-0.0345509,-0.241941
176,17.1093,-0.034624,-0.230256
177,17.3876,-0.033643,-0.25186
178,17.6704,-0.0328137,-0.247948
179,17.9578,-0.033751,-0.257786
180,18.2499,-0.0335443,-0.255039
181,18.5468,-0.0348184,-0.264932
182,18.8484,-0.0338271,-0.266728
183,19.155,-0.0350465,-0.25575
184,19.4666,-0.0345505,-0.267027
185,19.7832,-0.033617,-0.268699
186,20.105,-0.0342398,-0.269626
187,20.432,-0.0346588,-0.281046
188,20.7643,-0.0347037,-0.282068
189,21.102,-0.0346386,-0.293569
190,21.4453,-0.0343647,-0.298344
191,21.7941,-0.0346377,-0.301275
192,22.1486,-0.0346891,-0.300468
193,22.5088,-0.0344141,-0.315642
194,22.8749,-0.0343284,-0.313827
195,23.247,-0.0331241,-0.322256
196,23.6251,-0.0343376,-0.325307
