;Scopy version,8ade0b5a
;Exported on,Thursday April 03/04/2025
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1,-81.68,123.927
1,1.01627,-72.5042,97.668
2,1.03279,-77.5903,-118.244
3,1.04959,-77.6949,147.578
4,1.06666,-72.0463,105.357
5,1.08401,-71.9318,97.2226
6,1.10165,-70.1329,109.376
7,1.11956,-65.776,80.7285
8,1.13777,-65.8842,81.0011
9,1.15628,-65.2732,91.1612
10,1.17509,-78.2103,-163.162
11,1.1942,-76.5445,143.598
12,1.21362,-68.483,84.8065
13,1.23336,-66.7992,85.8282
14,1.25342,-65.5555,88.0457
15,1.27381,-66.6654,105.69
16,1.29453,-77.7402,144.941
17,1.31559,-75.7118,116.741
18,1.33698,-66.8525,79.7276
19,1.35873,-68.3721,98.6035
20,1.38083,-64.7799,82.5054
21,1.40329,-72.2754,88.2366
22,1.42611,-77.598,121.463
23,1.44931,-67.5428,81.8912
24,1.47288,-70.7424,105.892
25,1.49684,-65.2802,77.5479
26,1.52119,-68.4379,80.3361
27,1.54593,-67.0871,80.7289
28,1.57107,-66.711,78.2217
29,1.59663,-64.8628,77.3473
30,1.6226,-70.7964,104.062
31,1.64899,-67.3616,85.4582
32,1.67581,-64.9435,76.7873
33,1.70307,-69.0246,88.1361
34,1.73077,-66.5008,83.0908
35,1.75892,-65.4263,81.6764
36,1.78753,-68.2365,92.7127
37,1.8166,-66.6904,89.4822
38,1.84615,-65.4502,86.4382
39,1.87617,-67.3386,91.3814
40,1.90669,-65.7751,86.2276
41,1.9377,-64.172,80.1603
42,1.96922,-65.6504,87.0583
43,2.00125,-64.3221,79.6007
44,2.0338,-65.5397,88.8936
45,2.06688,-64.3199,84.4068
46,2.1005,-65.8386,86.5458
47,2.13466,-64.4219,87.6735
48,2.16938,-65.073,87.859
49,2.20467,-63.8363,86.0748
50,2.24053,-64.4703,88.9155
51,2.27697,-63.4877,82.5307
52,2.31401,-64.081,84.8003
53,2.35164,-63.0906,84.2901
54,2.38989,-63.6885,86.0822
55,2.42876,-63.9655,87.3555
56,2.46827,-62.9008,84.0669
57,2.50842,-63.3801,86.9028
58,2.54921,-64.0198,88.2944
59,2.59068,-62.9086,85.0046
60,2.63282,-63.1174,86.352
61,2.67564,-63.249,86.8096
62,2.71916,-62.4332,85.8271
63,2.76339,-62.4589,86.2673
64,2.80833,-62.7472,85.8405
65,2.85401,-62.6219,86.5197
66,2.90043,-62.6848,87.3397
67,2.94761,-62.5507,86.1776
68,2.99555,-62.707,87.7387
69,3.04427,-62.4805,87.126
70,3.09379,-62.2756,87.6154
71,3.14411,-62.0483,85.8081
72,3.19525,-62.0765,86.5599
73,3.24722,-61.6334,84.4216
