Freq.	V(n002)
1.00000000000000e+00	(-7.11240281999160e+01dB,8.99841600004035e+01°)
1.00230523807790e+00	(-7.11040282014481e+01dB,8.99841234854352e+01°)
1.00461579027839e+00	(-7.10840282029873e+01dB,8.99840868862912e+01°)
1.00693166885180e+00	(-7.10640282045336e+01dB,8.99840502027774e+01°)
1.00925288607668e+00	(-7.10440282060871e+01dB,8.99840134346994e+01°)
1.01157945425990e+00	(-7.10240282076477e+01dB,8.99839765818623e+01°)
1.01391138573668e+00	(-7.10040282092155e+01dB,8.99839396440706e+01°)
1.01624869287070e+00	(-7.09840282107906e+01dB,8.99839026211285e+01°)
1.01859138805412e+00	(-7.09640282123729e+01dB,8.99838655128397e+01°)
1.02093948370768e+00	(-7.09440282139625e+01dB,8.99838283190075e+01°)
1.02329299228075e+00	(-7.09240282155595e+01dB,8.99837910394347e+01°)
1.02565192625141e+00	(-7.09040282171638e+01dB,8.99837536739236e+01°)
1.02801629812647e+00	(-7.08840282187756e+01dB,8.99837162222761e+01°)
1.03038612044162e+00	(-7.08640282203947e+01dB,8.99836786842937e+01°)
1.03276140576140e+00	(-7.08440282220214e+01dB,8.99836410597773e+01°)
1.03514216667934e+00	(-7.08240282236556e+01dB,8.99836033485274e+01°)
1.03752841581801e+00	(-7.08040282252973e+01dB,8.99835655503442e+01°)
1.03992016582906e+00	(-7.07840282269465e+01dB,8.99835276650271e+01°)
1.04231742939330e+00	(-7.07640282286035e+01dB,8.99834896923754e+01°)
1.04472021922080e+00	(-7.07440282302680e+01dB,8.99834516321877e+01°)
1.04712854805090e+00	(-7.07240282319402e+01dB,8.99834134842622e+01°)
1.04954242865232e+00	(-7.07040282336202e+01dB,8.99833752483967e+01°)
1.05196187382322e+00	(-7.06840282353079e+01dB,8.99833369243884e+01°)
1.05438689639126e+00	(-7.06640282370034e+01dB,8.99832985120342e+01°)
1.05681750921366e+00	(-7.06440282387067e+01dB,8.99832600111304e+01°)
1.05925372517729e+00	(-7.06240282404179e+01dB,8.99832214214728e+01°)
1.06169555719872e+00	(-7.06040282421369e+01dB,8.99831827428569e+01°)
1.06414301822431e+00	(-7.05840282438639e+01dB,8.99831439750776e+01°)
1.06659612123026e+00	(-7.05640282455989e+01dB,8.99831051179294e+01°)
1.06905487922266e+00	(-7.05440282473419e+01dB,8.99830661712062e+01°)
1.07151930523760e+00	(-7.05240282490930e+01dB,8.99830271347015e+01°)
1.07398941234124e+00	(-7.05040282508521e+01dB,8.99829880082084e+01°)
1.07646521362983e+00	(-7.04840282526193e+01dB,8.99829487915195e+01°)
1.07894672222983e+00	(-7.04640282543947e+01dB,8.99829094844268e+01°)
1.08143395129794e+00	(-7.04440282561783e+01dB,8.99828700867218e+01°)
1.08392691402120e+00	(-7.04240282579701e+01dB,8.99828305981958e+01°)
1.08642562361706e+00	(-7.04040282597702e+01dB,8.99827910186394e+01°)
1.08893009333343e+00	(-7.03840282615786e+01dB,8.99827513478427e+01°)
1.09144033644875e+00	(-7.03640282633954e+01dB,8.99827115855953e+01°)
1.09395636627209e+00	(-7.03440282652205e+01dB,8.99826717316866e+01°)
1.09647819614318e+00	(-7.03240282670541e+01dB,8.99826317859051e+01°)
1.09900583943252e+00	(-7.03040282688961e+01dB,8.99825917480391e+01°)
1.10153930954141e+00	(-7.02840282707466e+01dB,8.99825516178762e+01°)
1.10407861990207e+00	(-7.02640282726057e+01dB,8.99825113952039e+01°)
1.10662378397766e+00	(-7.02440282744734e+01dB,8.99824710798087e+01°)
1.10917481526240e+00	(-7.02240282763496e+01dB,8.99824306714769e+01°)
1.11173172728159e+00	(-7.02040282782346e+01dB,8.99823901699944e+01°)
1.11429453359173e+00	(-7.01840282801282e+01dB,8.99823495751462e+01°)
1.11686324778056e+00	(-7.01640282820306e+01dB,8.99823088867174e+01°)
1.11943788346715e+00	(-7.01440282839417e+01dB,8.99822681044920e+01°)
1.12201845430196e+00	(-7.01240282858617e+01dB,8.99822272282539e+01°)
1.12460497396692e+00	(-7.01040282877905e+01dB,8.99821862577863e+01°)
1.12719745617551e+00	(-7.00840282897283e+01dB,8.99821451928721e+01°)
